study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias	sample_title
PRJNA475246	SAMN09382730	SRS3395776	SRX4184397	SRR7281005	EDIA301842	G104672	M1172-Child:2 months
PRJNA475246	SAMN09382731	SRS3395775	SRX4184396	SRR7281006	EDIA301640	G104669	M1172-Child:Birth
PRJNA475246	SAMN09382732	SRS3395774	SRX4184395	SRR7281007	EDIA301840	G104670	M1172-Child:14 days
PRJNA475246	SAMN09382733	SRS3395773	SRX4184394	SRR7281008	EDIA301643	G104668	M1172-Mother:Birth
PRJNA475246	SAMN09382734	SRS3395772	SRX4184393	SRR7281009	EDIA301465	G104667	M1172-Mother:Gest
PRJNA475246	SAMN09382618	SRS3395771	SRX4184392	SRR7281010	EDIA301055	G102360	M0369-Child:2 months
PRJNA475246	SAMN09382617	SRS3395770	SRX4184391	SRR7281011	EDIA301054	G102359	M0369-Child:1 month
PRJNA475246	SAMN09382537	SRS3395769	SRX4184390	SRR7281012	EDIA300223	G104706	M0210-Mother:Birth
PRJNA475246	SAMN09382610	SRS3395768	SRX4184389	SRR7281013	EDIA301050	G102352	M0353-Child:2 months
PRJNA475246	SAMN09382609	SRS3395767	SRX4184388	SRR7281014	EDIA301049	G102351	M0353-Child:1 month
PRJNA475246	SAMN09382612	SRS3395766	SRX4184387	SRR7281015	EDIA300238	G102346	M0353-Mother:Gest
PRJNA475246	SAMN09382611	SRS3395765	SRX4184386	SRR7281016	EDIA301051	G102353	M0353-Child:3 months
PRJNA475246	SAMN09382614	SRS3395764	SRX4184385	SRR7281017	EDIA301047	G102348	M0353-Mother:3 months
PRJNA475246	SAMN09382613	SRS3395763	SRX4184384	SRR7281018	EDIA301046	G102347	M0353-Mother:Birth
PRJNA475246	SAMN09382616	SRS3395762	SRX4184383	SRR7281019	EDIA301053	G102358	M0369-Child:14 days
PRJNA475246	SAMN09382615	SRS3395761	SRX4184382	SRR7281020	EDIA300377	G102357	M0369-Child:Birth
PRJNA475246	SAMN09382649	SRS3395759	SRX4184381	SRR7281021	EDIA301124	G102383	M0427-Child:1 month
